ID,Name,Description,Short Description,Price,Quantity,Category ID,Weight,Dimensions,Material,Origin,Warranty,Status
1,Bàn gỗ tự nhiên,"Bàn làm từ gỗ sồi tự nhiên, thiết kế hiện đại, bề mặt được xử lý chống xước và chịu nước.",Bàn làm việc hoặc trang trí,150.00,20,1,15.00,"120x60x75",Gỗ sồi,Việt Nam,12,in_stock
2,Ghế gỗ cổ điển,"Ghế gỗ thiết kế cổ điển, phong cách sang trọng phù hợp với không gian nội thất hoài cổ.",Ghế phong cách cổ điển,100.00,15,1,10.00,"50x50x90",Gỗ sồi,Việt Nam,12,in_stock
3,Tượng gỗ nghệ thuật,"Tượng gỗ được chạm khắc tinh xảo, mang phong cách nghệ thuật độc đáo, thích hợp làm quà tặng hoặc trang trí.",Tượng trang trí chạm khắc tinh tế,200.00,5,1,5.00,"30x30x60",Gỗ tự nhiên,Việt Nam,12,in_stock
4,Bình gốm sứ,"Bình gốm sứ với họa tiết tinh tế, dùng để trang trí không gian nội thất hoặc làm quà tặng.",Bình trang trí bằng gốm,80.00,30,2,1.00,"20x20x30",Gốm sứ,Việt Nam,6,in_stock
5,Chén gốm sứ,"Chén gốm sứ cao cấp với lớp men sáng bóng, bền bỉ và thích hợp cho mọi không gian bàn ăn.",Chén bàn ăn cao cấp,50.00,50,2,0.50,"10x10x5",Gốm sứ,Việt Nam,6,in_stock
6,Túi da thật,"Túi xách làm từ da thật 100%, thiết kế thời trang và sang trọng, có độ bền cao.",Túi xách thời trang cao cấp,120.00,10,3,0.80,"30x15x25",Da thật,Việt Nam,12,in_stock
7,Dây chuyền bạc,"Dây chuyền bạc thủ công, thiết kế tinh tế, phù hợp với mọi phong cách thời trang.",Dây chuyền bạc thủ công cao cấp,90.00,25,4,0.05,"5x5",Bạc,Việt Nam,12,in_stock
8,Nhẫn vàng,"Nhẫn vàng 18k thiết kế độc đáo, mang phong cách sang trọng và giá trị cao.",Nhẫn vàng thiết kế cao cấp,300.00,8,4,0.02,"2x2",Vàng,Việt Nam,12,in_stock
9,Gối thêu tay,"Gối trang trí với họa tiết thêu tay tỉ mỉ, tạo điểm nhấn cho không gian sống.",Gối trang trí thêu tinh tế,40.00,40,5,0.50,"40x40",Vải,Việt Nam,12,in_stock
10,Khăn trải bàn,"Khăn trải bàn với họa tiết thêu hoa thanh lịch, làm nổi bật không gian bàn ăn.",Khăn trải bàn thêu hoa,30.00,35,5,0.30,"150x100",Vải,Việt Nam,12,in_stock
11,Đèn trang trí,"Đèn trang trí làm từ gỗ, thiết kế độc đáo, mang lại không gian ấm cúng và phong cách.",Đèn gỗ trang trí nội thất,70.00,20,6,2.00,"30x30x60",Gỗ,Việt Nam,12,in_stock
12,Tranh treo tường,"Tranh treo tường nghệ thuật với khung gỗ tự nhiên, phù hợp làm quà tặng hoặc trang trí.",Tranh nghệ thuật treo tường,150.00,12,6,1.50,"60x90",Gỗ,Việt Nam,12,in_stock
13,Đồ chơi gỗ,"Đồ chơi làm từ gỗ tự nhiên, an toàn cho trẻ em và thân thiện với môi trường.",Đồ chơi an toàn từ gỗ,25.00,50,7,0.20,"15x15x5",Gỗ,Việt Nam,12,in_stock
14,Búp bê vải,"Búp bê vải thủ công với thiết kế dễ thương, thích hợp làm quà tặng hoặc đồ chơi.",Búp bê vải thủ công dễ thương,35.00,30,7,0.15,"20x10",Vải,Việt Nam,12,in_stock
15,Móc khóa kim loại,"Móc khóa kim loại với thiết kế độc đáo, chất liệu bền bỉ và phù hợp làm quà tặng nhỏ.",Móc khóa thiết kế độc đáo,15.00,100,8,0.05,"5x5",Kim loại,Việt Nam,12,in_stock
16,Đồ trang trí kim loại,"Đồ trang trí làm từ kim loại với phong cách hiện đại, tạo điểm nhấn cho không gian sống.",Trang trí nội thất bằng kim loại,60.00,25,8,1.00,"20x20x30",Kim loại,Việt Nam,12,in_stock
17,Khung ảnh gỗ,"Khung ảnh làm từ gỗ tự nhiên, thiết kế bền đẹp và phù hợp với mọi không gian.",Khung ảnh gỗ tự nhiên,45.00,15,1,0.80,"25x20",Gỗ,Việt Nam,12,in_stock
18,Tượng gốm sứ,"Tượng gốm sứ nghệ thuật, được chế tác tinh xảo, mang lại nét độc đáo cho không gian.",Tượng gốm sứ cao cấp,120.00,10,2,1.00,"15x15x30",Gốm sứ,Việt Nam,12,in_stock
